code	codetype	method	methodtype	aver	max	min
insert	a	DASH	a	1.044361667	1.046	1.04029
insert	a	CCEH	b	1.524968333	1.53431	1.51324
insert	a	Level	c	1.570881667	1.57421	1.56434
insert	a	Clevel	d	7.030871667	7.10154	6.97807
insert	a	Plush	e	2.420722	2.43118	2.41179
insert	a	ElimDA	f	0.442224	0.444365	0.440527
pos	b	DASH	a	0.373066833	0.376727	0.357379
pos	b	CCEH	b	0.386246	0.387686	0.38393
pos	b	Level	c	0.5450395	0.546163	0.543834
pos	b	Clevel	d	1.033883333	1.0415	1.02292
pos	b	Plush	e	1.583204	1.5893	1.57585
pos	b	ElimDA	f	0.5871938	0.589698	0.585566
neg	c	DASH	a	0.5000925	0.500861	0.4992
neg	c	CCEH	b	1.176861667	1.17839	1.17565
neg	c	Level	c	1.077073333	1.07766	1.07588
neg	c	Clevel	d	1.263503333	1.26873	1.2524
neg	c	Plush	e	1.154294	1.16179	1.14867
neg	c	ElimDA	f	0.348968	0.35119	0.347535
delete	d	DASH	a	0.718684667	0.721252	0.71552
delete	d	CCEH	b	0.728425333	0.729034	0.726855
delete	d	Level	c	1.039588333	1.04077	1.03786
delete	d	Clevel	d	3.415083333	3.4245	3.40738
delete	d	Plush	e	2.629362	2.63219	2.62003
delete	d	ElimDA	f	0.6487288	0.652474	0.647042
