node	nodetype	method	methodtype	aver
10	10	Plush-DRAM	a	0.249999746
20	20	Plush-DRAM	a	0.262560851
30	30	Plush-DRAM	a	0.250000104
40	40	Plush-DRAM	a	0.249999771
50	50	Plush-DRAM	a	0.249999632
60	60	Plush-DRAM	a	0.250000264
70	70	Plush-DRAM	a	0.250000051
80	80	Plush-DRAM	a	0.250000017
90	90	Plush-DRAM	a	0.249999711
100	100	Plush-DRAM	a	0.250000352
110	110	Plush-DRAM	a	0.249970499
120	120	Plush-DRAM	a	0.249999636
130	130	Plush-DRAM	a	0.250000085
140	140	Plush-DRAM	a	0.250000074
150	150	Plush-DRAM	a	0.249999896
160	160	Plush-DRAM	a	0.249999777
170	170	Plush-DRAM	a	0.249999799
180	180	Plush-DRAM	a	0.249999666
190	190	Plush-DRAM	a	0.250000195
200	200	Plush-DRAM	a	0.250000172
210	210	Plush-DRAM	a	0.24999976
220	220	Plush-DRAM	a	0.250000245
230	230	Plush-DRAM	a	0.249999726
240	240	Plush-DRAM	a	0.250000213
10	10	Plush-PM	b	0.249999839
20	20	Plush-PM	b	4.249999495
30	30	Plush-PM	b	4.250000493
40	40	Plush-PM	b	4.249998931
50	50	Plush-PM	b	4.25000808
60	60	Plush-PM	b	4.250006269
70	70	Plush-PM	b	4.250008685
80	80	Plush-PM	b	4.250005096
90	90	Plush-PM	b	4.249994726
100	100	Plush-PM	b	4.250002624
110	110	Plush-PM	b	4.250003643
120	120	Plush-PM	b	4.25000454
130	130	Plush-PM	b	4.249996225
140	140	Plush-PM	b	4.250001735
150	150	Plush-PM	b	4.249998959
160	160	Plush-PM	b	4.250003048
170	170	Plush-PM	b	4.249998202
180	180	Plush-PM	b	4.250003074
190	190	Plush-PM	b	4.250001257
200	200	Plush-PM	b	4.250002091
210	210	Plush-PM	b	68.2499742
220	220	Plush-PM	b	68.24978246
230	230	Plush-PM	b	68.24991443
240	240	Plush-PM	b	68.24981132
10	10	VIPER-DRAM	c	0.396240234
20	20	VIPER-DRAM	c	0.794219971
30	30	VIPER-DRAM	c	1.047981263
40	40	VIPER-DRAM	c	1.587265016
50	50	VIPER-DRAM	c	2.0145607
60	60	VIPER-DRAM	c	2.093997956
70	70	VIPER-DRAM	c	2.375648499
80	80	VIPER-DRAM	c	3.173919678
90	90	VIPER-DRAM	c	3.845325471
100	100	VIPER-DRAM	c	4.030708313
110	110	VIPER-DRAM	c	4.082023621
120	120	VIPER-DRAM	c	4.193206787
130	130	VIPER-DRAM	c	4.428947449
140	140	VIPER-DRAM	c	4.85838318
150	150	VIPER-DRAM	c	5.520629883
160	160	VIPER-DRAM	c	6.344173432
170	170	VIPER-DRAM	c	7.139011384
180	180	VIPER-DRAM	c	7.690620423
190	190	VIPER-DRAM	c	7.961681366
200	200	VIPER-DRAM	c	8.058933259
210	210	VIPER-DRAM	c	8.105636598
220	220	VIPER-DRAM	c	8.168132782
230	230	VIPER-DRAM	c	8.254638672
240	240	VIPER-DRAM	c	8.382823944
10	10	VIPER-PM	d	0.150764466
20	20	VIPER-PM	d	0.301551819
30	30	VIPER-PM	d	0.452316284
40	40	VIPER-PM	d	0.603103638
50	50	VIPER-PM	d	0.753890991
60	60	VIPER-PM	d	0.904655457
70	70	VIPER-PM	d	1.055442811
80	80	VIPER-PM	d	1.206207275
90	90	VIPER-PM	d	1.356994629
100	100	VIPER-PM	d	1.507781982
110	110	VIPER-PM	d	1.658546448
120	120	VIPER-PM	d	1.809333802
130	130	VIPER-PM	d	1.960116893
140	140	VIPER-PM	d	2.11088562
150	150	VIPER-PM	d	2.261672974
160	160	VIPER-PM	d	2.412437439
170	170	VIPER-PM	d	2.563224793
180	180	VIPER-PM	d	2.714005627
190	190	VIPER-PM	d	2.864776611
200	200	VIPER-PM	d	3.015563965
210	210	VIPER-PM	d	3.16632843
220	220	VIPER-PM	d	3.317115784
230	230	VIPER-PM	d	3.467903137
240	240	VIPER-PM	d	3.618667603
10	10	ElimDA-DRAM	e	0.066098828
20	20	ElimDA-DRAM	e	0.132199512
30	30	ElimDA-DRAM	e	0.183785938
40	40	ElimDA-DRAM	e	0.264400391
50	50	ElimDA-DRAM	e	0.264400391
60	60	ElimDA-DRAM	e	0.367154297
70	70	ElimDA-DRAM	e	0.528804688
80	80	ElimDA-DRAM	e	0.528803711
90	90	ElimDA-DRAM	e	0.528803711
100	100	ElimDA-DRAM	e	0.529323242
110	110	ElimDA-DRAM	e	0.533805664
120	120	ElimDA-DRAM	e	0.739245117
130	130	ElimDA-DRAM	e	0.739245117
140	140	ElimDA-DRAM	e	1.057611328
150	150	ElimDA-DRAM	e	1.057610352
160	160	ElimDA-DRAM	e	1.057610352
170	170	ElimDA-DRAM	e	1.057609375
180	180	ElimDA-DRAM	e	1.057608398
190	190	ElimDA-DRAM	e	1.057608398
200	200	ElimDA-DRAM	e	1.058648438
210	210	ElimDA-DRAM	e	1.059292969
220	220	ElimDA-DRAM	e	1.068192383
230	230	ElimDA-DRAM	e	1.145938477
240	240	ElimDA-DRAM	e	1.476976563
10	10	ElimDA-PM	f	0.291180664
20	20	ElimDA-PM	f	0.575436523
30	30	ElimDA-PM	f	0.802583984
40	40	ElimDA-PM	f	1.155664063
50	50	ElimDA-PM	f	1.153710938
60	60	ElimDA-PM	f	1.586894531
70	70	ElimDA-PM	f	2.282929688
80	80	ElimDA-PM	f	2.296601563
90	90	ElimDA-PM	f	2.296601563
100	100	ElimDA-PM	f	2.298916016
110	110	ElimDA-PM	f	2.333466797
120	120	ElimDA-PM	f	3.203115234
130	130	ElimDA-PM	f	3.203115234
140	140	ElimDA-PM	f	4.553066406
150	150	ElimDA-PM	f	4.601894531
160	160	ElimDA-PM	f	4.595058594
170	170	ElimDA-PM	f	4.595058594
180	180	ElimDA-PM	f	4.597988281
190	190	ElimDA-PM	f	4.593105469
200	200	ElimDA-PM	f	4.591884766
210	210	ElimDA-PM	f	4.595302734
220	220	ElimDA-PM	f	4.645605469
230	230	ElimDA-PM	f	5.025908203
240	240	ElimDA-PM	f	6.390634766
