node	nodetype	method	methodtype	aver
1	1	CCEH	b	1.941595
2	2	CCEH	b	3.613314
4	4	CCEH	b	6.282357
8	8	CCEH	b	9.603273
16	16	CCEH	b	10.940991
24	24	CCEH	b	11.432127
1	1	Clevel	d	0.215008
2	2	Clevel	d	0.419314
4	4	Clevel	d	0.809303
8	8	Clevel	d	1.53451
16	16	Clevel	d	2.702261
24	24	Clevel	d	3.576111
1	1	Plush	e	0.423265
2	2	Plush	e	0.95656
4	4	Plush	e	1.878408
8	8	Plush	e	2.619554
16	16	Plush	e	5.083122
24	24	Plush	e	7.476417
1	1	Viper	f	2.3032
2	2	Viper	f	4.993953
4	4	Viper	f	9.637327
8	8	Viper	f	15.409373
16	16	Viper	f	15.491165
24	24	Viper	f	15.131873
1	1	ElimDA	g	1.9295995
2	2	ElimDA	g	3.779359
4	4	ElimDA	g	7.358267
8	8	ElimDA	g	9.924119
16	16	ElimDA	g	18.3813365
24	24	ElimDA	g	25.373776
1	1	DASH	a	200
1	1	Level	c	200
