node	nodetype	method	methodtype	aver
1	1	CCEH	b	1.553614
2	2	CCEH	b	3.214115
4	4	CCEH	b	6.395054
8	8	CCEH	b	10.17395
16	16	CCEH	b	12.110555
24	24	CCEH	b	13.752623
1	1	Clevel	d	0.547787
2	2	Clevel	d	1.032996
4	4	Clevel	d	1.977721
8	8	Clevel	d	3.493462
16	16	Clevel	d	4.435138
24	24	Clevel	d	5.079593
1	1	Plush	e	0.62971
2	2	Plush	e	1.225157
4	4	Plush	e	2.422948
8	8	Plush	e	3.13946
16	16	Plush	e	6.263437
24	24	Plush	e	9.295119
1	1	Viper	f	3.604239
2	2	Viper	f	7.246053
4	4	Viper	f	14.848833
8	8	Viper	f	21.946858
16	16	Viper	f	28.133321
24	24	Viper	f	29.105092
1	1	ElimDA	g	2.622453
2	2	ElimDA	g	5.198723
4	4	ElimDA	g	10.266235
8	8	ElimDA	g	12.136581
16	16	ElimDA	g	23.401413
24	24	ElimDA	g	33.741323
1	1	DASH	a	200
1	1	Level	c	200
