node	nodetype	method	methodtype	aver
1	1	DASH	a	2.547534
2	2	DASH	a	4.556558
4	4	DASH	a	7.806189
8	8	DASH	a	10.655705
16	16	DASH	a	9.969395
24	24	DASH	a	9.275043
1	1	CCEH	b	1.519133
2	2	CCEH	b	3.087774
4	4	CCEH	b	6.070746
8	8	CCEH	b	9.841329
16	16	CCEH	b	11.607526
24	24	CCEH	b	12.588382
1	1	Level	c	0.872114
2	2	Level	c	1.425969
4	4	Level	c	1.972523
8	8	Level	c	3.644325
16	16	Level	c	4.716346
24	24	Level	c	5.236053
1	1	Clevel	d	0.575072
2	2	Clevel	d	1.102422
4	4	Clevel	d	2.145923
8	8	Clevel	d	4.137716
16	16	Clevel	d	7.2416
24	24	Clevel	d	9.988099
1	1	Plush	e	1.16033
2	2	Plush	e	1.20241
4	4	Plush	e	2.2662
8	8	Plush	e	4.880244
16	16	Plush	e	6.240233
24	24	Plush	e	9.361369
1	1	Viper	f	3.625560333
2	2	Viper	f	7.433447667
4	4	Viper	f	14.772049
8	8	Viper	f	21.772137
16	16	Viper	f	25.086287
24	24	Viper	f	25.97748067
1	1	ElimDA	g	5.043314
2	2	ElimDA	g	5.3270765
4	4	ElimDA	g	10.502546
8	8	ElimDA	g	20.5088805
16	16	ElimDA	g	24.746811
24	24	ElimDA	g	36.5088485
