node	nodetype	method	methodtype	aver
1	1	DASH	a	1.361149
2	2	DASH	a	2.770951
4	4	DASH	a	4.811631
8	8	DASH	a	7.28332
16	16	DASH	a	7.353183
24	24	DASH	a	7.086551
1	1	CCEH	b	0.732373
2	2	CCEH	b	1.389933
4	4	CCEH	b	2.745591
8	8	CCEH	b	4.836576
16	16	CCEH	b	6.132695
24	24	CCEH	b	6.397954
1	1	Level	c	0.694532
2	2	Level	c	1.239523
4	4	Level	c	2.192028
8	8	Level	c	3.537363
16	16	Level	c	4.236918
24	24	Level	c	4.501145
1	1	Clevel	d	0.237316
2	2	Clevel	d	0.453495
4	4	Clevel	d	0.884652
8	8	Clevel	d	1.651285
16	16	Clevel	d	2.836115
24	24	Clevel	d	3.920888
1	1	Plush	e	0.446808
2	2	Plush	e	0.89648
4	4	Plush	e	1.7672565
8	8	Plush	e	2.413629
16	16	Plush	e	4.704921
24	24	Plush	e	6.940909
1	1	Viper	f	1.959922
2	2	Viper	f	4.22807
4	4	Viper	f	8.227409
8	8	Viper	f	10.98181
16	16	Viper	f	0
24	24	Viper	f	0
1	1	ElimDA	g	1.8972135
2	2	ElimDA	g	3.5556535
4	4	ElimDA	g	6.6841395
8	8	ElimDA	g	9.6083835
16	16	ElimDA	g	15.8329955
24	24	ElimDA	g	20.028024
